x,y,species avg
946.0,946.0,0.5047628
947.0,947.0,0.058026507
948.0,948.0,0.59930164
949.0,949.0,0.5277147
950.0,950.0,0.24624245
951.0,951.0,0.45455486
952.0,952.0,0.40224817
953.0,953.0,0.07240292
954.0,954.0,0.11434577
955.0,955.0,0.032876298
956.0,956.0,0.4254007
957.0,957.0,0.035315126
958.0,958.0,0.060315832
959.0,959.0,0.32235178
960.0,960.0,0.12588772
961.0,961.0,0.01477181
962.0,962.0,0.17832732
963.0,963.0,0.042499438
964.0,964.0,0.3845064
965.0,965.0,0.3942461
966.0,966.0,0.23745166
967.0,967.0,0.26126766
968.0,968.0,0.14697683
969.0,969.0,0.48842123
970.0,970.0,0.551151
971.0,971.0,0.5214194
972.0,972.0,0.13846736
973.0,973.0,0.55472976
974.0,974.0,0.30637088
975.0,975.0,0.2610197
976.0,976.0,0.42272964
977.0,977.0,0.17792596
978.0,978.0,0.5633862
979.0,979.0,0.13838035
980.0,980.0,0.4133586
981.0,981.0,0.04277638
982.0,982.0,0.38952142
983.0,983.0,0.1371311
984.0,984.0,0.43380225
985.0,985.0,0.009886218
986.0,986.0,0.50890124
987.0,987.0,0.6094824
988.0,988.0,0.47560638
989.0,989.0,0.12148365
990.0,990.0,0.10098967
991.0,991.0,0.081682354
992.0,992.0,0.5603985
993.0,993.0,0.08096949
994.0,994.0,0.48008245
995.0,995.0,0.058179583
996.0,996.0,0.5575666
