x,y,species_0 logistic values
778.0,778.0,0.54926
779.0,779.0,0.037296176
780.0,780.0,0.1033228
781.0,781.0,0.014708702
782.0,782.0,0.63999915
783.0,783.0,0.4884139
784.0,784.0,0.575339
785.0,785.0,0.068502724
786.0,786.0,0.63765323
787.0,787.0,0.48290023
788.0,788.0,0.27293167
789.0,789.0,0.13564771
790.0,790.0,0.11467704
791.0,791.0,0.62128603
792.0,792.0,0.25198528
793.0,793.0,0.45251063
794.0,794.0,0.13624251
795.0,795.0,0.006936754
796.0,796.0,0.60224694
797.0,797.0,0.0017832096
798.0,798.0,0.43147418
799.0,799.0,0.12912765
800.0,800.0,0.005403169
801.0,801.0,0.4077911
802.0,802.0,0.067659274
803.0,803.0,0.34402752
804.0,804.0,0.049477555
805.0,805.0,0.45688745
806.0,806.0,0.4608754
807.0,807.0,0.0055420217
808.0,808.0,0.07935639
809.0,809.0,0.1096615
810.0,810.0,0.45897377
811.0,811.0,0.011201312
812.0,812.0,0.23339228
813.0,813.0,0.6141249
814.0,814.0,0.13826154
815.0,815.0,0.46938786
816.0,816.0,0.11340255
817.0,817.0,0.012673007
818.0,818.0,0.4163176
819.0,819.0,0.39647165
820.0,820.0,0.3208306
821.0,821.0,0.17857991
822.0,822.0,0.10214032
823.0,823.0,0.46547413
824.0,824.0,0.4039281
825.0,825.0,0.01388504
826.0,826.0,0.11786835
827.0,827.0,0.48683316
828.0,828.0,0.4181712
829.0,829.0,0.70352054
830.0,830.0,0.094283305
831.0,831.0,0.15001634
832.0,832.0,0.036601577
833.0,833.0,0.040438905
834.0,834.0,0.5557805
835.0,835.0,0.4219761
836.0,836.0,0.5410041
837.0,837.0,0.15769081
838.0,838.0,0.055634893
839.0,839.0,0.41187188
840.0,840.0,0.13346115
841.0,841.0,0.0049467487
842.0,842.0,0.0704441
843.0,843.0,0.40921068
844.0,844.0,0.19764127
845.0,845.0,0.07928697
846.0,846.0,0.032837685
847.0,847.0,0.5387864
848.0,848.0,0.08879068
849.0,849.0,0.079080366
850.0,850.0,0.11426857
851.0,851.0,0.46966523
852.0,852.0,0.17836812
853.0,853.0,0.39980382
854.0,854.0,0.013639083
855.0,855.0,0.1415944
856.0,856.0,0.454493
857.0,857.0,0.48731744
858.0,858.0,0.04971506
859.0,859.0,0.27500075
860.0,860.0,0.031141188
861.0,861.0,0.49972618
862.0,862.0,0.5534297
863.0,863.0,0.16998732
864.0,864.0,0.51567477
865.0,865.0,0.63291126
866.0,866.0,0.38849124
867.0,867.0,0.61652726
868.0,868.0,0.38015282
869.0,869.0,0.0064118784
870.0,870.0,0.3138373
871.0,871.0,0.06690766
872.0,872.0,0.031405274
873.0,873.0,0.46665725
874.0,874.0,0.4394003
875.0,875.0,0.18252385
876.0,876.0,0.43789762
877.0,877.0,0.2189737
878.0,878.0,0.4842288
879.0,879.0,0.24518867
880.0,880.0,0.4993533
881.0,881.0,0.005948059
882.0,882.0,0.20835136
883.0,883.0,0.60256994
884.0,884.0,0.6464147
885.0,885.0,0.25123832
886.0,886.0,0.18706825
887.0,887.0,0.40712416
888.0,888.0,0.48089352
889.0,889.0,0.663094
890.0,890.0,0.078875445
891.0,891.0,0.17816687
892.0,892.0,0.5362435
893.0,893.0,0.004873008
894.0,894.0,0.17776704
895.0,895.0,0.5719262
896.0,896.0,0.55819654
897.0,897.0,0.086151175
898.0,898.0,0.03808555
899.0,899.0,0.13914543
900.0,900.0,0.45866397
901.0,901.0,0.008423327
902.0,902.0,0.19654742
903.0,903.0,0.3497905
904.0,904.0,0.008103153
905.0,905.0,0.55006045
906.0,906.0,0.014686089
907.0,907.0,0.42355993
908.0,908.0,0.04608072
909.0,909.0,0.015370022
910.0,910.0,0.5214598
911.0,911.0,0.3205678
912.0,912.0,0.6522545
913.0,913.0,0.43428025
914.0,914.0,0.024851903
915.0,915.0,0.44902366
916.0,916.0,0.6083997
917.0,917.0,0.012724879
918.0,918.0,0.58180094
919.0,919.0,0.012759463
920.0,920.0,0.51552504
921.0,921.0,0.13208786
922.0,922.0,0.045839846
923.0,923.0,0.4350869
924.0,924.0,0.2667593
925.0,925.0,0.10921727
926.0,926.0,0.5820928
927.0,927.0,0.22629982
928.0,928.0,0.08390989
929.0,929.0,0.014794529
930.0,930.0,0.4517475
931.0,931.0,0.23280206
932.0,932.0,0.0442917
933.0,933.0,0.41410616
934.0,934.0,0.53233576
935.0,935.0,0.0025030435
936.0,936.0,0.48381916
937.0,937.0,0.49392736
938.0,938.0,0.04058635
939.0,939.0,0.4776795
940.0,940.0,0.115944535
941.0,941.0,0.3076733
942.0,942.0,0.010573259
943.0,943.0,0.41944548
944.0,944.0,0.3732333
945.0,945.0,0.090087846
946.0,946.0,0.48706433
947.0,947.0,0.04209752
948.0,948.0,0.622806
949.0,949.0,0.4952401
950.0,950.0,0.2858601
951.0,951.0,0.46664244
952.0,952.0,0.4602078
953.0,953.0,0.08019107
954.0,954.0,0.11729125
955.0,955.0,0.050327286
956.0,956.0,0.3998272
957.0,957.0,0.040560722
958.0,958.0,0.07663009
959.0,959.0,0.35132778
960.0,960.0,0.13804811
961.0,961.0,0.008613338
962.0,962.0,0.18406808
963.0,963.0,0.013895596
964.0,964.0,0.4084285
965.0,965.0,0.38811922
966.0,966.0,0.2936115
967.0,967.0,0.29300505
968.0,968.0,0.15454932
969.0,969.0,0.48715
970.0,970.0,0.5702681
971.0,971.0,0.50440794
972.0,972.0,0.10113072
973.0,973.0,0.57191074
974.0,974.0,0.36087942
975.0,975.0,0.18860298
976.0,976.0,0.39672723
977.0,977.0,0.1889321
978.0,978.0,0.5553702
979.0,979.0,0.14038295
980.0,980.0,0.48921257
981.0,981.0,0.05077606
982.0,982.0,0.42395398
983.0,983.0,0.11988748
984.0,984.0,0.42477393
985.0,985.0,0.010337091
986.0,986.0,0.50184923
987.0,987.0,0.59550476
988.0,988.0,0.4699608
989.0,989.0,0.12162795
990.0,990.0,0.101825155
991.0,991.0,0.08529109
992.0,992.0,0.5442595
993.0,993.0,0.075309984
994.0,994.0,0.42339402
995.0,995.0,0.0611325
