x,y,species median
621.0,621.0,0.004057546
622.0,622.0,0.3003018
623.0,623.0,0.650773
624.0,624.0,0.13975146
625.0,625.0,0.019986996
626.0,626.0,0.2608223
627.0,627.0,0.65165097
628.0,628.0,0.036136843
629.0,629.0,0.45199403
630.0,630.0,0.27532464
631.0,631.0,0.69457924
632.0,632.0,0.45298293
633.0,633.0,0.1341599
634.0,634.0,0.461439
635.0,635.0,0.72784287
636.0,636.0,0.09876421
637.0,637.0,0.028623192
638.0,638.0,0.17747337
639.0,639.0,0.53622454
640.0,640.0,0.29951397
641.0,641.0,0.12272243
642.0,642.0,0.41816586
643.0,643.0,0.0054743257
644.0,644.0,0.45059896
645.0,645.0,0.52762026
646.0,646.0,0.4675349
647.0,647.0,0.4897668
648.0,648.0,0.21334945
649.0,649.0,0.35951492
650.0,650.0,0.5269681
651.0,651.0,0.19400243
652.0,652.0,0.40952373
653.0,653.0,0.011949786
654.0,654.0,0.1963802
655.0,655.0,0.19968286
656.0,656.0,0.31327665
657.0,657.0,0.15931457
658.0,658.0,0.04209737
659.0,659.0,0.6071045
660.0,660.0,0.10202245
661.0,661.0,0.0074832807
662.0,662.0,0.062813774
663.0,663.0,0.610669
664.0,664.0,0.025024785
665.0,665.0,0.1879718
666.0,666.0,0.59598595
667.0,667.0,0.36396435
668.0,668.0,0.36821765
669.0,669.0,0.3426011
670.0,670.0,0.00949966
671.0,671.0,0.13151146
672.0,672.0,0.32583368
673.0,673.0,0.0051077856
674.0,674.0,0.29899305
675.0,675.0,0.087874345
676.0,676.0,0.10802851
677.0,677.0,0.009094603
678.0,678.0,0.26773202
679.0,679.0,0.32522443
680.0,680.0,0.09800563
681.0,681.0,0.18447484
682.0,682.0,0.2091565
683.0,683.0,0.62781215
684.0,684.0,0.06842809
685.0,685.0,0.2893663
686.0,686.0,0.25032568
687.0,687.0,0.4125886
688.0,688.0,0.33734015
689.0,689.0,0.1093226
690.0,690.0,0.007483742
691.0,691.0,0.15622804
692.0,692.0,0.01941525
693.0,693.0,0.11122105
694.0,694.0,0.10819314
695.0,695.0,0.7001009
696.0,696.0,0.3330348
697.0,697.0,0.10894269
698.0,698.0,0.56038266
699.0,699.0,0.008016569
700.0,700.0,0.10938485
701.0,701.0,0.56766415
702.0,702.0,0.03645855
