x,y,raw,cumulative,logistic
2611.0,2611.0,5.87604E-6,0.310919271,0.040848106
2612.0,2612.0,1.02267E-5,0.609884331,0.069005389
2613.0,2613.0,1.2586E-4,38.054605015,0.477040809
2614.0,2614.0,3.75842E-5,5.74317842,0.21408255
2615.0,2615.0,6.19498E-5,11.010760791,0.309865526
2616.0,2616.0,1.23649E-4,37.068696701,0.472620038
2617.0,2617.0,5.55141E-7,0.003396215,0.004007363
2618.0,2618.0,1.12356E-4,31.179612866,0.448828862
2619.0,2619.0,8.67643E-5,19.113810466,0.386066426
2620.0,2620.0,1.18605E-5,0.780815336,0.079156958
2621.0,2621.0,1.76492E-4,62.050538107,0.561241328
2622.0,2622.0,3.99491E-5,6.183822725,0.224528819
2623.0,2623.0,1.17454E-6,0.034521385,0.008440835
2624.0,2624.0,1.71009E-4,59.459953075,0.553455383
2625.0,2625.0,1.26006E-4,38.155339518,0.477330219
2626.0,2626.0,7.13352E-5,13.772039305,0.340810923
2627.0,2627.0,1.35481E-4,42.904204338,0.495439495
2628.0,2628.0,2.17329E-5,2.44171533,0.136078992
2629.0,2629.0,1.36224E-4,43.338888693,0.496806592
2630.0,2630.0,3.06082E-4,91.334549304,0.689285112
2631.0,2631.0,4.06829E-5,6.357257494,0.227713953
2632.0,2632.0,5.06283E-5,8.380291284,0.268437843
2633.0,2633.0,1.27974E-4,39.299177143,0.48119746
2634.0,2634.0,2.04941E-5,2.188580986,0.129325744
2635.0,2635.0,1.09209E-4,29.627850533,0.441813293
2636.0,2636.0,7.32343E-5,14.393670284,0.346738105
2637.0,2637.0,1.53275E-5,1.230923285,0.099981896
2638.0,2638.0,4.62554E-5,7.369124369,0.251073478
2639.0,2639.0,1.93505E-4,68.226860314,0.583761164
2640.0,2640.0,1.06964E-4,28.482461454,0.436697178
2641.0,2641.0,1.41216E-4,46.112575246,0.505805012
2642.0,2642.0,1.82971E-5,1.720610643,0.11708463
2643.0,2643.0,1.86095E-4,65.798594992,0.574242607
